時間,操作者,角色,結果,工件,相機,信心度,備註
2026-07-09 10:54:10,Developer,開發者,NG,PART-105410,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:09,Developer,開發者,NG,PART-105409,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:54:09,Developer,開發者,NG,PART-105409,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 10 object(s)；C5->螺絲: no object
2026-07-09 10:54:09,Developer,開發者,NG,PART-105409,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:08,Developer,開發者,NG,PART-105408,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:08,Developer,開發者,NG,PART-105408,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: 1 object(s)；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:54:07,Developer,開發者,NG,PART-105407,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 7 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 12 object(s)；C5->螺絲: no object
2026-07-09 10:54:06,Developer,開發者,NG,PART-105406,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:06,Developer,開發者,NG,PART-105406,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: 1 object(s)；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
2026-07-09 10:54:05,Developer,開發者,NG,PART-105405,"C1:D2:M濾網,C2:D0:M濾網,C3:D1:M標籤, 螺絲,C4:D3:M標籤, 螺絲,C5:D4:M螺絲",0.000,C1->濾網: no object；C2->濾網: no object；C3->標籤: no object；C3->螺絲: 8 object(s)；C4->標籤: 4 object(s)；C4->螺絲: 11 object(s)；C5->螺絲: no object
